Colony,Colony,Colour-size composition A,Colour-size composition B,Colour-size composition C,Colour-size composition D,Colour-size composition E,Colour-size composition F
1,0.132,0.146,0.098,0.229,0.199,0.196
2,0.149,0.135,0.159,0.135,0.215,0.211
3,0.129,0.159,0.138,0.174,0.18,0.221
4,0.199,0.172,0.172,0.12,0.125,0.212
5,0.189,0.112,0.108,0.128,0.273,0.19
6,0.196,0.136,0.151,0.123,0.154,0.239
7,0.14,0.138,0.187,0.193,0.145,0.197
8,0.183,0.149,0.204,0.113,0.174,0.17
9,0.147,0.141,0.159,0.194,0.161,0.198
10,0.155,0.094,0.157,0.182,0.187,0.224
11,0.102,0.209,0.139,0.205,0.131,0.215
12,0.148,0.165,0.147,0.098,0.188,0.254
13,0.205,0.165,0.099,0.132,0.193,0.207
14,0.084,0.177,0.154,0.18,0.193,0.212
15,0.209,0.131,0.131,0.108,0.187,0.234
16,0.176,0.123,0.169,0.181,0.153,0.199
17,0.274,0.16,0.125,0.114,0.119,0.208
18,0.185,0.153,0.109,0.156,0.192,0.206
19,0.234,0.152,0.114,0.141,0.161,0.199
20,0.204,0.16,0.18,0.151,0.19,0.186
